code,category,value,areaName
E14000530,under1,1374,Aldershot
E14000530,age1,1354,Aldershot
E14000530,age2,1383,Aldershot
E14000530,age3,1328,Aldershot
E14000530,age4,1284,Aldershot
E14000530,age5,1377,Aldershot
E14000530,age6,1366,Aldershot
E14000530,age7,1269,Aldershot
E14000530,age8,1359,Aldershot
E14000530,age9,1328,Aldershot
E14000530,age10,1300,Aldershot
E14000530,age11,1268,Aldershot
E14000530,age12,1177,Aldershot
E14000530,age13,1258,Aldershot
E14000530,age14,1199,Aldershot
E14000530,age15,1166,Aldershot
E14000530,age16,1219,Aldershot
E14000530,age17,1325,Aldershot
E14000530,age18,1164,Aldershot
E14000530,age19,1181,Aldershot
E14000530,age20,1022,Aldershot
E14000530,age21,1169,Aldershot
E14000530,age22,1318,Aldershot
E14000530,age23,1351,Aldershot
E14000530,age24,1422,Aldershot
E14000530,age25,1621,Aldershot
E14000530,age26,1653,Aldershot
E14000530,age27,1687,Aldershot
E14000530,age28,1773,Aldershot
E14000530,age29,1749,Aldershot
E14000530,age30,1930,Aldershot
E14000530,age31,1871,Aldershot
E14000530,age32,1902,Aldershot
E14000530,age33,1918,Aldershot
E14000530,age34,1913,Aldershot
E14000530,age35,1799,Aldershot
E14000530,age36,1693,Aldershot
E14000530,age37,1692,Aldershot
E14000530,age38,1679,Aldershot
E14000530,age39,1638,Aldershot
E14000530,age40,1585,Aldershot
E14000530,age41,1661,Aldershot
E14000530,age42,1437,Aldershot
E14000530,age43,1432,Aldershot
E14000530,age44,1406,Aldershot
E14000530,age45,1411,Aldershot
E14000530,age46,1409,Aldershot
E14000530,age47,1451,Aldershot
E14000530,age48,1480,Aldershot
E14000530,age49,1466,Aldershot
E14000530,age50,1544,Aldershot
E14000530,age51,1531,Aldershot
E14000530,age52,1570,Aldershot
E14000530,age53,1533,Aldershot
E14000530,age54,1529,Aldershot
E14000530,age55,1638,Aldershot
E14000530,age56,1492,Aldershot
E14000530,age57,1484,Aldershot
E14000530,age58,1424,Aldershot
E14000530,age59,1341,Aldershot
E14000530,age60,1290,Aldershot
E14000530,age61,1167,Aldershot
E14000530,age62,1105,Aldershot
E14000530,age63,1049,Aldershot
E14000530,age64,1037,Aldershot
E14000530,age65,932,Aldershot
E14000530,age66,943,Aldershot
E14000530,age67,928,Aldershot
E14000530,age68,879,Aldershot
E14000530,age69,886,Aldershot
E14000530,age70,878,Aldershot
E14000530,age71,870,Aldershot
E14000530,age72,984,Aldershot
E14000530,age73,1020,Aldershot
E14000530,age74,1043,Aldershot
E14000530,age75,731,Aldershot
E14000530,age76,796,Aldershot
E14000530,age77,781,Aldershot
E14000530,age78,675,Aldershot
E14000530,age79,593,Aldershot
E14000530,age80,550,Aldershot
E14000530,age81,522,Aldershot
E14000530,age82,476,Aldershot
E14000530,age83,444,Aldershot
E14000530,age84,392,Aldershot
E14000530,age85,336,Aldershot
E14000530,age86,291,Aldershot
E14000530,age87,261,Aldershot
E14000530,age88,196,Aldershot
E14000530,age89,182,Aldershot
E14000530,age90,145,Aldershot
E14000530,age91,150,Aldershot
E14000530,age92,113,Aldershot
E14000530,age93,82,Aldershot
E14000530,age94,78,Aldershot
E14000530,age95,48,Aldershot
E14000530,age96,36,Aldershot
E14000530,age97,26,Aldershot
E14000530,age98,23,Aldershot
E14000530,age99,8,Aldershot
E14000530,over100,13,Aldershot
E14000531,under1,678,Aldridge-Brownhills
E14000531,age1,786,Aldridge-Brownhills
E14000531,age2,773,Aldridge-Brownhills
E14000531,age3,832,Aldridge-Brownhills
E14000531,age4,818,Aldridge-Brownhills
E14000531,age5,855,Aldridge-Brownhills
E14000531,age6,842,Aldridge-Brownhills
E14000531,age7,860,Aldridge-Brownhills
E14000531,age8,877,Aldridge-Brownhills
