code,category,value,areaName
E92000001,ABBangladeshi,629567,England
E92000001,ABChinese,431165,England
E92000001,ABIndian,1843248,England
E92000001,ABPakistani,1570285,England
E92000001,ABAsian,952127,England
E92000001,BBAfrican,1468474,England
E92000001,BBCaribbean,619419,England
E92000001,BBBlack,293831,England
E92000001,whiteAndAsian,474190,England
E92000001,whiteAndBlackAfrican,241528,England
E92000001,whiteAndBlackCaribbean,499310,England
E92000001,multiple,454350,England
E92000001,wBritish,41540791,England
E92000001,wIrish,494251,England
E92000001,wTraveller,64218,England
E92000001,wRoma,99138,England
E92000001,wOther,3585003,England
E92000001,arab,320203,England
E92000001,other,908950,England
W92000004,ABBangladeshi,15314,Wales
W92000004,ABChinese,14454,Wales
W92000004,ABIndian,21070,Wales
W92000004,ABPakistani,17534,Wales
W92000004,ABAsian,20656,Wales
W92000004,BBAfrican,19907,Wales
W92000004,BBCaribbean,3700,Wales
W92000004,BBBlack,3947,Wales
W92000004,whiteAndAsian,14035,Wales
W92000004,whiteAndBlackAfrican,8068,Wales
W92000004,whiteAndBlackCaribbean,13732,Wales
W92000004,multiple,12763,Wales
W92000004,wBritish,2814247,Wales
W92000004,wIrish,13214,Wales
W92000004,wTraveller,3550,Wales
W92000004,wRoma,1843,Wales
W92000004,wOther,82994,Wales
W92000004,arab,11641,Wales
W92000004,other,14825,Wales
W92000004,N/A,0,Wales
W92000004,ABBangladeshi,15314,Wales
W92000004,ABChinese,14454,Wales
W92000004,ABIndian,21070,Wales
W92000004,ABPakistani,17534,Wales
W92000004,ABAsian,20656,Wales
W92000004,BBAfrican,19907,Wales
W92000004,BBCaribbean,3700,Wales
W92000004,BBBlack,3947,Wales
W92000004,whiteAndAsian,14035,Wales
W92000004,whiteAndBlackAfrican,8068,Wales
W92000004,whiteAndBlackCaribbean,13732,Wales
W92000004,multiple,12763,Wales
W92000004,wBritish,2814247,Wales
W92000004,wIrish,13214,Wales
W92000004,wTraveller,3550,Wales
W92000004,wRoma,1843,Wales
W92000004,wOther,82994,Wales
W92000004,arab,11641,Wales
W92000004,other,14825,Wales
